sentid	comparison	pairid	contextid	lemma	condition	sentence	ROI
68	unexpected	34	34	be	in-a-sentential-complement	the mechanic said the managers is young	6
69	expected	35	35	be	in-a-sentential-complement	the mechanic said the managers are short	6
70	unexpected	35	35	be	in-a-sentential-complement	the mechanic said the managers is short	6
71	expected	36	36	laugh	in-a-sentential-complement	the mechanic said the customers laugh	6
72	unexpected	36	36	laugh	in-a-sentential-complement	the mechanic said the customers laughs	6
73	expected	37	37	swim	in-a-sentential-complement	the mechanic said the customers swim	6
74	unexpected	37	37	swim	in-a-sentential-complement	the mechanic said the customers swims	6
75	expected	38	38	smile	in-a-sentential-complement	the mechanic said the customers smile	6
76	unexpected	38	38	smile	in-a-sentential-complement	the mechanic said the customers smiles	6
77	expected	39	39	be	in-a-sentential-complement	the mechanic said the customers are tall	6
78	unexpected	39	39	be	in-a-sentential-complement	the mechanic said the customers is tall	6
79	expected	40	40	be	in-a-sentential-complement	the mechanic said the customers are old	6
80	unexpected	40	40	be	in-a-sentential-complement	the mechanic said the customers is old	6
81	expected	41	41	be	in-a-sentential-complement	the mechanic said the customers are young	6
82	unexpected	41	41	be	in-a-sentential-complement	the mechanic said the customers is young	6
83	expected	42	42	be	in-a-sentential-complement	the mechanic said the customers are short	6
84	unexpected	42	42	be	in-a-sentential-complement	the mechanic said the customers is short	6
85	expected	43	43	laugh	in-a-sentential-complement	the mechanic said the officers laugh	6
86	unexpected	43	43	laugh	in-a-sentential-complement	the mechanic said the officers laughs	6
87	expected	44	44	swim	in-a-sentential-complement	the mechanic said the officers swim	6
88	unexpected	44	44	swim	in-a-sentential-complement	the mechanic said the officers swims	6
89	expected	45	45	smile	in-a-sentential-complement	the mechanic said the officers smile	6
90	unexpected	45	45	smile	in-a-sentential-complement	the mechanic said the officers smiles	6
91	expected	46	46	be	in-a-sentential-complement	the mechanic said the officers are tall	6
92	unexpected	46	46	be	in-a-sentential-complement	the mechanic said the officers is tall	6
93	expected	47	47	be	in-a-sentential-complement	the mechanic said the officers are old	6
94	unexpected	47	47	be	in-a-sentential-complement	the mechanic said the officers is old	6
95	expected	48	48	be	in-a-sentential-complement	the mechanic said the officers are young	6
96	unexpected	48	48	be	in-a-sentential-complement	the mechanic said the officers is young	6
97	expected	49	49	be	in-a-sentential-complement	the mechanic said the officers are short	6
98	unexpected	49	49	be	in-a-sentential-complement	the mechanic said the officers is short	6
99	expected	50	50	laugh	in-a-sentential-complement	the mechanic said the teachers laugh	6
100	unexpected	50	50	laugh	in-a-sentential-complement	the mechanic said the teachers laughs	6
101	expected	51	51	swim	in-a-sentential-complement	the mechanic said the teachers swim	6
102	unexpected	51	51	swim	in-a-sentential-complement	the mechanic said the teachers swims	6
103	expected	52	52	smile	in-a-sentential-complement	the mechanic said the teachers smile	6
104	unexpected	52	52	smile	in-a-sentential-complement	the mechanic said the teachers smiles	6
105	expected	53	53	be	in-a-sentential-complement	the mechanic said the teachers are tall	6
106	unexpected	53	53	be	in-a-sentential-complement	the mechanic said the teachers is tall	6
107	expected	54	54	be	in-a-sentential-complement	the mechanic said the teachers are old	6
108	unexpected	54	54	be	in-a-sentential-complement	the mechanic said the teachers is old	6
109	expected	55	55	be	in-a-sentential-complement	the mechanic said the teachers are young	6
110	unexpected	55	55	be	in-a-sentential-complement	the mechanic said the teachers is young	6
111	expected	56	56	be	in-a-sentential-complement	the mechanic said the teachers are short	6
112	unexpected	56	56	be	in-a-sentential-complement	the mechanic said the teachers is short	6
113	expected	57	57	laugh	in-a-sentential-complement	the mechanic said the senators laugh	6
114	unexpected	57	57	laugh	in-a-sentential-complement	the mechanic said the senators laughs	6
115	expected	58	58	swim	in-a-sentential-complement	the mechanic said the senators swim	6
116	unexpected	58	58	swim	in-a-sentential-complement	the mechanic said the senators swims	6
117	expected	59	59	smile	in-a-sentential-complement	the mechanic said the senators smile	6
118	unexpected	59	59	smile	in-a-sentential-complement	the mechanic said the senators smiles	6
119	expected	60	60	be	in-a-sentential-complement	the mechanic said the senators are tall	6
120	unexpected	60	60	be	in-a-sentential-complement	the mechanic said the senators is tall	6
121	expected	61	61	be	in-a-sentential-complement	the mechanic said the senators are old	6
122	unexpected	61	61	be	in-a-sentential-complement	the mechanic said the senators is old	6
123	expected	62	62	be	in-a-sentential-complement	the mechanic said the senators are young	6
124	unexpected	62	62	be	in-a-sentential-complement	the mechanic said the senators is young	6
125	expected	63	63	be	in-a-sentential-complement	the mechanic said the senators are short	6
126	unexpected	63	63	be	in-a-sentential-complement	the mechanic said the senators is short	6
127	expected	64	64	laugh	in-a-sentential-complement	the mechanic said the consultants laugh	6
128	unexpected	64	64	laugh	in-a-sentential-complement	the mechanic said the consultants laughs	6
129	expected	65	65	swim	in-a-sentential-complement	the mechanic said the consultants swim	6
130	unexpected	65	65	swim	in-a-sentential-complement	the mechanic said the consultants swims	6
131	expected	66	66	smile	in-a-sentential-complement	the mechanic said the consultants smile	6
132	unexpected	66	66	smile	in-a-sentential-complement	the mechanic said the consultants smiles	6
133	expected	67	67	be	in-a-sentential-complement	the mechanic said the consultants are tall	6
134	unexpected	67	67	be	in-a-sentential-complement	the mechanic said the consultants is tall	6
135	expected	68	68	be	in-a-sentential-complement	the mechanic said the consultants are old	6
136	unexpected	68	68	be	in-a-sentential-complement	the mechanic said the consultants is old	6
137	expected	69	69	be	in-a-sentential-complement	the mechanic said the consultants are young	6
138	unexpected	69	69	be	in-a-sentential-complement	the mechanic said the consultants is young	6
139	expected	70	70	be	in-a-sentential-complement	the mechanic said the consultants are short	6
140	unexpected	70	70	be	in-a-sentential-complement	the mechanic said the consultants is short	6
141	expected	71	71	laugh	in-a-sentential-complement	the mechanic thought the authors laugh	6
142	unexpected	71	71	laugh	in-a-sentential-complement	the mechanic thought the authors laughs	6
143	expected	72	72	swim	in-a-sentential-complement	the mechanic thought the authors swim	6
144	unexpected	72	72	swim	in-a-sentential-complement	the mechanic thought the authors swims	6
145	expected	73	73	smile	in-a-sentential-complement	the mechanic thought the authors smile	6
146	unexpected	73	73	smile	in-a-sentential-complement	the mechanic thought the authors smiles	6
147	expected	74	74	be	in-a-sentential-complement	the mechanic thought the authors are tall	6
148	unexpected	74	74	be	in-a-sentential-complement	the mechanic thought the authors is tall	6
149	expected	75	75	be	in-a-sentential-complement	the mechanic thought the authors are old	6
150	unexpected	75	75	be	in-a-sentential-complement	the mechanic thought the authors is old	6
151	expected	76	76	be	in-a-sentential-complement	the mechanic thought the authors are young	6
152	unexpected	76	76	be	in-a-sentential-complement	the mechanic thought the authors is young	6
153	expected	77	77	be	in-a-sentential-complement	the mechanic thought the authors are short	6
154	unexpected	77	77	be	in-a-sentential-complement	the mechanic thought the authors is short	6
155	expected	78	78	laugh	in-a-sentential-complement	the mechanic thought the pilots laugh	6
156	unexpected	78	78	laugh	in-a-sentential-complement	the mechanic thought the pilots laughs	6
157	expected	79	79	swim	in-a-sentential-complement	the mechanic thought the pilots swim	6
158	unexpected	79	79	swim	in-a-sentential-complement	the mechanic thought the pilots swims	6
159	expected	80	80	smile	in-a-sentential-complement	the mechanic thought the pilots smile	6
160	unexpected	80	80	smile	in-a-sentential-complement	the mechanic thought the pilots smiles	6
161	expected	81	81	be	in-a-sentential-complement	the mechanic thought the pilots are tall	6
162	unexpected	81	81	be	in-a-sentential-complement	the mechanic thought the pilots is tall	6
163	expected	82	82	be	in-a-sentential-complement	the mechanic thought the pilots are old	6
164	unexpected	82	82	be	in-a-sentential-complement	the mechanic thought the pilots is old	6
165	expected	83	83	be	in-a-sentential-complement	the mechanic thought the pilots are young	6
166	unexpected	83	83	be	in-a-sentential-complement	the mechanic thought the pilots is young	6
167	expected	84	84	be	in-a-sentential-complement	the mechanic thought the pilots are short	6
168	unexpected	84	84	be	in-a-sentential-complement	the mechanic thought the pilots is short	6
169	expected	85	85	laugh	in-a-sentential-complement	the mechanic thought the surgeons laugh	6
170	unexpected	85	85	laugh	in-a-sentential-complement	the mechanic thought the surgeons laughs	6
171	expected	86	86	swim	in-a-sentential-complement	the mechanic thought the surgeons swim	6
172	unexpected	86	86	swim	in-a-sentential-complement	the mechanic thought the surgeons swims	6
173	expected	87	87	smile	in-a-sentential-complement	the mechanic thought the surgeons smile	6
174	unexpected	87	87	smile	in-a-sentential-complement	the mechanic thought the surgeons smiles	6
175	expected	88	88	be	in-a-sentential-complement	the mechanic thought the surgeons are tall	6
176	unexpected	88	88	be	in-a-sentential-complement	the mechanic thought the surgeons is tall	6
177	expected	89	89	be	in-a-sentential-complement	the mechanic thought the surgeons are old	6
178	unexpected	89	89	be	in-a-sentential-complement	the mechanic thought the surgeons is old	6
179	expected	90	90	be	in-a-sentential-complement	the mechanic thought the surgeons are young	6
180	unexpected	90	90	be	in-a-sentential-complement	the mechanic thought the surgeons is young	6
181	expected	91	91	be	in-a-sentential-complement	the mechanic thought the surgeons are short	6
182	unexpected	91	91	be	in-a-sentential-complement	the mechanic thought the surgeons is short	6
183	expected	92	92	laugh	in-a-sentential-complement	the mechanic thought the farmers laugh	6
184	unexpected	92	92	laugh	in-a-sentential-complement	the mechanic thought the farmers laughs	6
185	expected	93	93	swim	in-a-sentential-complement	the mechanic thought the farmers swim	6
186	unexpected	93	93	swim	in-a-sentential-complement	the mechanic thought the farmers swims	6
187	expected	94	94	smile	in-a-sentential-complement	the mechanic thought the farmers smile	6
188	unexpected	94	94	smile	in-a-sentential-complement	the mechanic thought the farmers smiles	6
189	expected	95	95	be	in-a-sentential-complement	the mechanic thought the farmers are tall	6
190	unexpected	95	95	be	in-a-sentential-complement	the mechanic thought the farmers is tall	6
191	expected	96	96	be	in-a-sentential-complement	the mechanic thought the farmers are old	6
192	unexpected	96	96	be	in-a-sentential-complement	the mechanic thought the farmers is old	6
193	expected	97	97	be	in-a-sentential-complement	the mechanic thought the farmers are young	6
194	unexpected	97	97	be	in-a-sentential-complement	the mechanic thought the farmers is young	6
195	expected	98	98	be	in-a-sentential-complement	the mechanic thought the farmers are short	6
196	unexpected	98	98	be	in-a-sentential-complement	the mechanic thought the farmers is short	6
197	expected	99	99	laugh	in-a-sentential-complement	the mechanic thought the managers laugh	6
198	unexpected	99	99	laugh	in-a-sentential-complement	the mechanic thought the managers laughs	6
199	expected	100	100	swim	in-a-sentential-complement	the mechanic thought the managers swim	6
200	unexpected	100	100	swim	in-a-sentential-complement	the mechanic thought the managers swims	6
201	expected	101	101	smile	in-a-sentential-complement	the mechanic thought the managers smile	6
202	unexpected	101	101	smile	in-a-sentential-complement	the mechanic thought the managers smiles	6
203	expected	102	102	be	in-a-sentential-complement	the mechanic thought the managers are tall	6
204	unexpected	102	102	be	in-a-sentential-complement	the mechanic thought the managers is tall	6
205	expected	103	103	be	in-a-sentential-complement	the mechanic thought the managers are old	6
206	unexpected	103	103	be	in-a-sentential-complement	the mechanic thought the managers is old	6
207	expected	104	104	be	in-a-sentential-complement	the mechanic thought the managers are young	6
208	unexpected	104	104	be	in-a-sentential-complement	the mechanic thought the managers is young	6
209	expected	105	105	be	in-a-sentential-complement	the mechanic thought the managers are short	6
210	unexpected	105	105	be	in-a-sentential-complement	the mechanic thought the managers is short	6
211	expected	106	106	laugh	in-a-sentential-complement	the mechanic thought the customers laugh	6
212	unexpected	106	106	laugh	in-a-sentential-complement	the mechanic thought the customers laughs	6
213	expected	107	107	swim	in-a-sentential-complement	the mechanic thought the customers swim	6
214	unexpected	107	107	swim	in-a-sentential-complement	the mechanic thought the customers swims	6
215	expected	108	108	smile	in-a-sentential-complement	the mechanic thought the customers smile	6
216	unexpected	108	108	smile	in-a-sentential-complement	the mechanic thought the customers smiles	6
217	expected	109	109	be	in-a-sentential-complement	the mechanic thought the customers are tall	6
218	unexpected	109	109	be	in-a-sentential-complement	the mechanic thought the customers is tall	6
219	expected	110	110	be	in-a-sentential-complement	the mechanic thought the customers are old	6
220	unexpected	110	110	be	in-a-sentential-complement	the mechanic thought the customers is old	6
221	expected	111	111	be	in-a-sentential-complement	the mechanic thought the customers are young	6
222	unexpected	111	111	be	in-a-sentential-complement	the mechanic thought the customers is young	6
223	expected	112	112	be	in-a-sentential-complement	the mechanic thought the customers are short	6
224	unexpected	112	112	be	in-a-sentential-complement	the mechanic thought the customers is short	6
225	expected	113	113	laugh	in-a-sentential-complement	the mechanic thought the officers laugh	6
226	unexpected	113	113	laugh	in-a-sentential-complement	the mechanic thought the officers laughs	6
227	expected	114	114	swim	in-a-sentential-complement	the mechanic thought the officers swim	6
228	unexpected	114	114	swim	in-a-sentential-complement	the mechanic thought the officers swims	6
229	expected	115	115	smile	in-a-sentential-complement	the mechanic thought the officers smile	6
230	unexpected	115	115	smile	in-a-sentential-complement	the mechanic thought the officers smiles	6
231	expected	116	116	be	in-a-sentential-complement	the mechanic thought the officers are tall	6
232	unexpected	116	116	be	in-a-sentential-complement	the mechanic thought the officers is tall	6
233	expected	117	117	be	in-a-sentential-complement	the mechanic thought the officers are old	6
234	unexpected	117	117	be	in-a-sentential-complement	the mechanic thought the officers is old	6
235	expected	118	118	be	in-a-sentential-complement	the mechanic thought the officers are young	6
236	unexpected	118	118	be	in-a-sentential-complement	the mechanic thought the officers is young	6
237	expected	119	119	be	in-a-sentential-complement	the mechanic thought the officers are short	6
238	unexpected	119	119	be	in-a-sentential-complement	the mechanic thought the officers is short	6
239	expected	120	120	laugh	in-a-sentential-complement	the mechanic thought the teachers laugh	6
240	unexpected	120	120	laugh	in-a-sentential-complement	the mechanic thought the teachers laughs	6
241	expected	121	121	swim	in-a-sentential-complement	the mechanic thought the teachers swim	6
242	unexpected	121	121	swim	in-a-sentential-complement	the mechanic thought the teachers swims	6
243	expected	122	122	smile	in-a-sentential-complement	the mechanic thought the teachers smile	6
244	unexpected	122	122	smile	in-a-sentential-complement	the mechanic thought the teachers smiles	6
245	expected	123	123	be	in-a-sentential-complement	the mechanic thought the teachers are tall	6
246	unexpected	123	123	be	in-a-sentential-complement	the mechanic thought the teachers is tall	6
247	expected	124	124	be	in-a-sentential-complement	the mechanic thought the teachers are old	6
248	unexpected	124	124	be	in-a-sentential-complement	the mechanic thought the teachers is old	6
249	expected	125	125	be	in-a-sentential-complement	the mechanic thought the teachers are young	6
250	unexpected	125	125	be	in-a-sentential-complement	the mechanic thought the teachers is young	6
251	expected	126	126	be	in-a-sentential-complement	the mechanic thought the teachers are short	6
252	unexpected	126	126	be	in-a-sentential-complement	the mechanic thought the teachers is short	6
253	expected	127	127	laugh	in-a-sentential-complement	the mechanic thought the senators laugh	6
254	unexpected	127	127	laugh	in-a-sentential-complement	the mechanic thought the senators laughs	6
255	expected	128	128	swim	in-a-sentential-complement	the mechanic thought the senators swim	6
256	unexpected	128	128	swim	in-a-sentential-complement	the mechanic thought the senators swims	6
257	expected	129	129	smile	in-a-sentential-complement	the mechanic thought the senators smile	6
258	unexpected	129	129	smile	in-a-sentential-complement	the mechanic thought the senators smiles	6
259	expected	130	130	be	in-a-sentential-complement	the mechanic thought the senators are tall	6
260	unexpected	130	130	be	in-a-sentential-complement	the mechanic thought the senators is tall	6
261	expected	131	131	be	in-a-sentential-complement	the mechanic thought the senators are old	6
262	unexpected	131	131	be	in-a-sentential-complement	the mechanic thought the senators is old	6
263	expected	132	132	be	in-a-sentential-complement	the mechanic thought the senators are young	6
264	unexpected	132	132	be	in-a-sentential-complement	the mechanic thought the senators is young	6
265	expected	133	133	be	in-a-sentential-complement	the mechanic thought the senators are short	6
266	unexpected	133	133	be	in-a-sentential-complement	the mechanic thought the senators is short	6
267	expected	134	134	laugh	in-a-sentential-complement	the mechanic thought the consultants laugh	6
268	unexpected	134	134	laugh	in-a-sentential-complement	the mechanic thought the consultants laughs	6
269	expected	135	135	swim	in-a-sentential-complement	the mechanic thought the consultants swim	6
270	unexpected	135	135	swim	in-a-sentential-complement	the mechanic thought the consultants swims	6
271	expected	136	136	smile	in-a-sentential-complement	the mechanic thought the consultants smile	6
272	unexpected	136	136	smile	in-a-sentential-complement	the mechanic thought the consultants smiles	6
273	expected	137	137	be	in-a-sentential-complement	the mechanic thought the consultants are tall	6
274	unexpected	137	137	be	in-a-sentential-complement	the mechanic thought the consultants is tall	6
275	expected	138	138	be	in-a-sentential-complement	the mechanic thought the consultants are old	6
276	unexpected	138	138	be	in-a-sentential-complement	the mechanic thought the consultants is old	6
277	expected	139	139	be	in-a-sentential-complement	the mechanic thought the consultants are young	6
278	unexpected	139	139	be	in-a-sentential-complement	the mechanic thought the consultants is young	6
279	expected	140	140	be	in-a-sentential-complement	the mechanic thought the consultants are short	6
280	unexpected	140	140	be	in-a-sentential-complement	the mechanic thought the consultants is short	6
281	expected	141	141	laugh	in-a-sentential-complement	the mechanic knew the authors laugh	6
282	unexpected	141	141	laugh	in-a-sentential-complement	the mechanic knew the authors laughs	6
283	expected	142	142	swim	in-a-sentential-complement	the mechanic knew the authors swim	6
284	unexpected	142	142	swim	in-a-sentential-complement	the mechanic knew the authors swims	6
285	expected	143	143	smile	in-a-sentential-complement	the mechanic knew the authors smile	6
286	unexpected	143	143	smile	in-a-sentential-complement	the mechanic knew the authors smiles	6
287	expected	144	144	be	in-a-sentential-complement	the mechanic knew the authors are tall	6
288	unexpected	144	144	be	in-a-sentential-complement	the mechanic knew the authors is tall	6
289	expected	145	145	be	in-a-sentential-complement	the mechanic knew the authors are old	6
290	unexpected	145	145	be	in-a-sentential-complement	the mechanic knew the authors is old	6
291	expected	146	146	be	in-a-sentential-complement	the mechanic knew the authors are young	6
292	unexpected	146	146	be	in-a-sentential-complement	the mechanic knew the authors is young	6
293	expected	147	147	be	in-a-sentential-complement	the mechanic knew the authors are short	6
294	unexpected	147	147	be	in-a-sentential-complement	the mechanic knew the authors is short	6
295	expected	148	148	laugh	in-a-sentential-complement	the mechanic knew the pilots laugh	6
296	unexpected	148	148	laugh	in-a-sentential-complement	the mechanic knew the pilots laughs	6
297	expected	149	149	swim	in-a-sentential-complement	the mechanic knew the pilots swim	6
298	unexpected	149	149	swim	in-a-sentential-complement	the mechanic knew the pilots swims	6
299	expected	150	150	smile	in-a-sentential-complement	the mechanic knew the pilots smile	6
300	unexpected	150	150	smile	in-a-sentential-complement	the mechanic knew the pilots smiles	6
301	expected	151	151	be	in-a-sentential-complement	the mechanic knew the pilots are tall	6
302	unexpected	151	151	be	in-a-sentential-complement	the mechanic knew the pilots is tall	6
303	expected	152	152	be	in-a-sentential-complement	the mechanic knew the pilots are old	6
304	unexpected	152	152	be	in-a-sentential-complement	the mechanic knew the pilots is old	6
305	expected	153	153	be	in-a-sentential-complement	the mechanic knew the pilots are young	6
306	unexpected	153	153	be	in-a-sentential-complement	the mechanic knew the pilots is young	6
307	expected	154	154	be	in-a-sentential-complement	the mechanic knew the pilots are short	6
308	unexpected	154	154	be	in-a-sentential-complement	the mechanic knew the pilots is short	6
309	expected	155	155	laugh	in-a-sentential-complement	the mechanic knew the surgeons laugh	6
310	unexpected	155	155	laugh	in-a-sentential-complement	the mechanic knew the surgeons laughs	6
311	expected	156	156	swim	in-a-sentential-complement	the mechanic knew the surgeons swim	6
312	unexpected	156	156	swim	in-a-sentential-complement	the mechanic knew the surgeons swims	6
313	expected	157	157	smile	in-a-sentential-complement	the mechanic knew the surgeons smile	6
314	unexpected	157	157	smile	in-a-sentential-complement	the mechanic knew the surgeons smiles	6
315	expected	158	158	be	in-a-sentential-complement	the mechanic knew the surgeons are tall	6
316	unexpected	158	158	be	in-a-sentential-complement	the mechanic knew the surgeons is tall	6
317	expected	159	159	be	in-a-sentential-complement	the mechanic knew the surgeons are old	6
318	unexpected	159	159	be	in-a-sentential-complement	the mechanic knew the surgeons is old	6
319	expected	160	160	be	in-a-sentential-complement	the mechanic knew the surgeons are young	6
320	unexpected	160	160	be	in-a-sentential-complement	the mechanic knew the surgeons is young	6
321	expected	161	161	be	in-a-sentential-complement	the mechanic knew the surgeons are short	6
322	unexpected	161	161	be	in-a-sentential-complement	the mechanic knew the surgeons is short	6
323	expected	162	162	laugh	in-a-sentential-complement	the mechanic knew the farmers laugh	6
324	unexpected	162	162	laugh	in-a-sentential-complement	the mechanic knew the farmers laughs	6
325	expected	163	163	swim	in-a-sentential-complement	the mechanic knew the farmers swim	6
326	unexpected	163	163	swim	in-a-sentential-complement	the mechanic knew the farmers swims	6
327	expected	164	164	smile	in-a-sentential-complement	the mechanic knew the farmers smile	6
328	unexpected	164	164	smile	in-a-sentential-complement	the mechanic knew the farmers smiles	6
329	expected	165	165	be	in-a-sentential-complement	the mechanic knew the farmers are tall	6
330	unexpected	165	165	be	in-a-sentential-complement	the mechanic knew the farmers is tall	6
331	expected	166	166	be	in-a-sentential-complement	the mechanic knew the farmers are old	6
332	unexpected	166	166	be	in-a-sentential-complement	the mechanic knew the farmers is old	6
333	expected	167	167	be	in-a-sentential-complement	the mechanic knew the farmers are young	6
334	unexpected	167	167	be	in-a-sentential-complement	the mechanic knew the farmers is young	6
335	expected	168	168	be	in-a-sentential-complement	the mechanic knew the farmers are short	6
336	unexpected	168	168	be	in-a-sentential-complement	the mechanic knew the farmers is short	6
337	expected	169	169	laugh	in-a-sentential-complement	the mechanic knew the managers laugh	6
338	unexpected	169	169	laugh	in-a-sentential-complement	the mechanic knew the managers laughs	6
339	expected	170	170	swim	in-a-sentential-complement	the mechanic knew the managers swim	6
340	unexpected	170	170	swim	in-a-sentential-complement	the mechanic knew the managers swims	6
341	expected	171	171	smile	in-a-sentential-complement	the mechanic knew the managers smile	6
342	unexpected	171	171	smile	in-a-sentential-complement	the mechanic knew the managers smiles	6
343	expected	172	172	be	in-a-sentential-complement	the mechanic knew the managers are tall	6
344	unexpected	172	172	be	in-a-sentential-complement	the mechanic knew the managers is tall	6
345	expected	173	173	be	in-a-sentential-complement	the mechanic knew the managers are old	6
346	unexpected	173	173	be	in-a-sentential-complement	the mechanic knew the managers is old	6
347	expected	174	174	be	in-a-sentential-complement	the mechanic knew the managers are young	6
348	unexpected	174	174	be	in-a-sentential-complement	the mechanic knew the managers is young	6
349	expected	175	175	be	in-a-sentential-complement	the mechanic knew the managers are short	6
350	unexpected	175	175	be	in-a-sentential-complement	the mechanic knew the managers is short	6
351	expected	176	176	laugh	in-a-sentential-complement	the mechanic knew the customers laugh	6
352	unexpected	176	176	laugh	in-a-sentential-complement	the mechanic knew the customers laughs	6
353	expected	177	177	swim	in-a-sentential-complement	the mechanic knew the customers swim	6
354	unexpected	177	177	swim	in-a-sentential-complement	the mechanic knew the customers swims	6
355	expected	178	178	smile	in-a-sentential-complement	the mechanic knew the customers smile	6
